X,Y,PROVINCIA,NEW_NCART,SIMBC,TIPO_UC,LIMIT_PPAL,LIMIT_SECU,LIMIT_TERC,IND_PROD,PORC_SUE1,POSI_SUE1,ORDEN_SUE1,GGRUP_SUE1,SGRUP_SUE1,TEXT_SUPS1,TEXT_BS1,DRENAJE_S1,PROFUND_S1,ALCALIN_S1,PORC_PENS1,ERHIDR_S1,EREOLI_S1,ROCOS_S1,ANEGAB_S1,PORC_SUE2,POSI_SUE2,ORDEN_SUE2,GGRUP_SUE2,SGRUP_SUE2,PORC_SUE3,POSI_SUE3,ORDEN_SUE3,GGRUP_SUE3,SGRUP_SUE3,OGC_FID,AREA,PERIMETER
-61.5622952751923,-37.2064676360184,BUENOS AIRES,1119.00000,MJ:ag-17,Complejo,Drenaje deficiente,-,-,53.00000,50.00000,Loma,Molisoles,Hapludoles,Hapludoles tapto argico,Franca,Franco arcillosa,Bien drenado,120.00000,No sodico,0.00000,-,-,-,-,30.00000,Microloma,Molisoles,Hapludoles,Hapludoles tapto natrico,20.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,3506.00000,0.001994,0.176091
-61.7348804725646,-37.2189459749454,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3507.00000,0.002909,0.301703
-61.8768226574508,-37.2443748615038,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3515.00000,0.001455,0.216683
-61.6541451200458,-37.2239695586942,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3519.00000,0.000737,0.136271
-61.9435974941985,-37.2621851018624,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3528.00000,0.000451,0.111700
-62.2014713975625,-37.244264772693,BUENOS AIRES,50015.00000,L,Agua,No apto agrricultura,No apto agrricultura,No apto agrricultura,0.00000,100.00000,Lago/laguna,Lagunas,Lagunas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,0.00000,,,,,0.00000,,,,,3529.00000,0.000328,0.078962
-62.3744565900433,-37.3909671562657,BUENOS AIRES,1185.00000,MNen-42,Asociacion,Prof.Efectiva somera,Erosion eolica actua,Baja retenc humedad,33.00000,50.00000,Planicie,Molisoles,Haplustoles,Haplustoles entico,Franco arenosa,Franco arenosa,Excesivo,100.00000,No sodico,0.00000,-,Ligera,-,-,30.00000,Planicie,Molisoles,Haplustoles,Haplustoles entico,20.00000,Planicie,Molisoles,Argiustoles,Argiustoles tipico,3534.00000,0.003202,0.678691
-61.8038111858068,-37.358393126947,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3535.00000,0.008129,0.579136
-62.2072686491941,-37.2806085234501,BUENOS AIRES,50015.00000,L,Agua,No apto agrricultura,No apto agrricultura,No apto agrricultura,0.00000,100.00000,Lago/laguna,Lagunas,Lagunas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,0.00000,,,,,0.00000,,,,,3543.00000,0.000299,0.069486
-62.2208307301408,-37.4709592323525,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3546.00000,0.076566,2.273098
-62.1934881607414,-37.3079728689266,BUENOS AIRES,50015.00000,L,Agua,No apto agrricultura,No apto agrricultura,No apto agrricultura,0.00000,100.00000,Lago/laguna,Lagunas,Lagunas,No Clasificado xx,No determinada,No determinada,-,0.00000,-,0.00000,-,-,-,-,0.00000,,,,,0.00000,,,,,3549.00000,0.000594,0.106238
-61.8934978524107,-37.3557619176568,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3553.00000,0.001310,0.237819
-61.8484922640184,-37.3558093528617,BUENOS AIRES,1099.00000,MItc-32,Asociacion,Prof.Efectiva somera,Suscep eros hidrica,-,55.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Afloramiento rocoso,Molisoles,Hapludoles,Hapludoles petrocalcico,3554.00000,0.002501,0.220165
-62.2838467467577,-37.3559656182241,BUENOS AIRES,1185.00000,MNen-42,Asociacion,Prof.Efectiva somera,Erosion eolica actua,Baja retenc humedad,33.00000,50.00000,Planicie,Molisoles,Haplustoles,Haplustoles entico,Franco arenosa,Franco arenosa,Excesivo,100.00000,No sodico,0.00000,-,Ligera,-,-,30.00000,Planicie,Molisoles,Haplustoles,Haplustoles entico,20.00000,Planicie,Molisoles,Argiustoles,Argiustoles tipico,3555.00000,0.001098,0.254640
-62.4294316636846,-37.4247154312142,BUENOS AIRES,1097.00000,MItc-30,Asociacion,Prof.Efectiva somera,-,-,65.00000,50.00000,Lomas con tosca subsup,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Plano bajo,Molisoles,Natracuoles,Natracuoles tipico,3558.00000,0.021191,0.785009
-61.576436002672,-37.4415158819539,BUENOS AIRES,1097.00000,MItc-30,Asociacion,Prof.Efectiva somera,-,-,65.00000,50.00000,Lomas con tosca subsup,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Plano bajo,Molisoles,Natracuoles,Natracuoles tipico,3561.00000,0.011171,0.739437
-61.880907236772,-37.4262568650257,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3562.00000,0.018519,0.930334
-61.9528466395964,-37.3761068046132,BUENOS AIRES,1090.00000,MItc-24,Asociacion,Prof.Efectiva somera,Alcalin menos 50cm,-,50.00000,50.00000,Loma,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Cubetas,Molisoles,Argialboles,Argialboles tipico,20.00000,Plano inundable,Molisoles,Natracuoles,Natracuoles tipico,3569.00000,0.000301,0.087854
-61.796812556234,-37.5738024455243,BUENOS AIRES,1069.00000,MGtc-4,Asociacion,Alcalin menos 50cm,-,-,36.00000,60.00000,V�a de escurrimiento,Molisoles,Natracuoles,Natracuoles tipico,Franco limosa,Arcillosa,Imperfecto,50.00000,Debil,0.00000,-,-,-,-,40.00000,Albardon,Molisoles,Hapludoles,Hapludoles tapto argico,0.00000,,,,,3571.00000,0.015270,1.860069
-61.9741256870053,-37.5612877870245,BUENOS AIRES,1097.00000,MItc-30,Asociacion,Prof.Efectiva somera,-,-,65.00000,50.00000,Lomas con tosca subsup,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Plano bajo,Molisoles,Natracuoles,Natracuoles tipico,3573.00000,0.052618,2.515886
-61.74045246181,-37.4706237074018,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3579.00000,0.011212,0.653755
-61.4802108807869,-37.4296851896204,BUENOS AIRES,1097.00000,MItc-30,Asociacion,Prof.Efectiva somera,-,-,65.00000,50.00000,Lomas con tosca subsup,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Plano bajo,Molisoles,Natracuoles,Natracuoles tipico,3586.00000,0.001572,0.175839
-62.4618721464308,-37.4986397730192,BUENOS AIRES,1097.00000,MItc-30,Asociacion,Prof.Efectiva somera,-,-,65.00000,50.00000,Lomas con tosca subsup,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Plano bajo,Molisoles,Natracuoles,Natracuoles tipico,3596.00000,0.007208,0.415088
-61.813068332125,-37.5064124817125,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3609.00000,0.000913,0.123291
-61.5771712729281,-37.5798293098717,BUENOS AIRES,1100.00000,MItc-33,Asociacion,Prof.Efectiva somera,Pedregosidad,-,65.00000,50.00000,Pendiente,Molisoles,Argiudoles,Argiudoles tipico,Franco limosa,Franco arcillo limos,Bien drenado,100.00000,No sodico,0.00000,-,-,-,-,30.00000,Planicie,Molisoles,Argiudoles,Argiudoles tipico,20.00000,Loma,Molisoles,Hapludoles,Hapludoles petrocalcico,3630.00000,0.003574,0.271179
